alert_id,source_file,rule_name,event_time,description,priority,container_id,pod_name,image_name,user_name,user_loginuid,command,k8s_namespace,tags,label,raw_line
11,Attacks-Pod-4xs77.txt,Debugfs Launched in Privileged Container,01:31:42.905245048,Detect file system debugger debugfs launched inside a privileged container which might lead to container escape.,WARNING,50e3b7bbde14,sensitive-mount-deployment-7fd6f8467-s9vpq,busybox:latest,root,0,container:50e3b7bbde14 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-s9vpq container=50e3b7bbde14 image=busybox:latest mounts=/var/lib/kubelet/pods/42c4808b-46f4-4c9d-8f00-518cc56cf15a/containers/busybox/8247691e:/dev/termination-log::true:rprivate,default,"[""container"", ""cis"", ""mitre_lateral_movement""]",attack,"rule= Debugfs Launched in Privileged Container, desc= 01:31:42.905245048: Detect file system debugger debugfs launched inside a privileged container which might lead to container escape., parameter=user=root user_loginuid=0 command=container:50e3b7bbde14 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-s9vpq container=50e3b7bbde14 image=busybox:latest mounts=/var/lib/kubelet/pods/42c4808b-46f4-4c9d-8f00-518cc56cf15a/containers/busybox/8247691e:/dev/termination-log::true:rprivate,/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/42c4808b-46f4-4c9d-8f00-518cc56cf15a/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/42c4808b-46f4-4c9d-8f00-518cc56cf15a/etc-hosts:/etc/hosts::true:rprivate, priority=WARNING, container=50e3b7bbde14, pod=sensitive-mount-deployment-7fd6f8467-s9vpq, tag=[""container"", ""cis"", ""mitre_lateral_movement""], attack"
12,Attacks-Pod-4xs77.txt,Debugfs Launched in Privileged Container,14:11:48.229425562,Detect file system debugger debugfs launched inside a privileged container which might lead to container escape.,WARNING,d211a5572bf7,privileged-deployment-574878fc9d-jjhwr,busybox:latest,root,0,container:d211a5572bf7 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-jjhwr container=d211a5572bf7 image=busybox:latest,default,"[""container"", ""cis"", ""mitre_lateral_movement""]",attack,"rule= Debugfs Launched in Privileged Container, desc= 14:11:48.229425562: Detect file system debugger debugfs launched inside a privileged container which might lead to container escape., parameter=user=root user_loginuid=0 command=container:d211a5572bf7 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-jjhwr container=d211a5572bf7 image=busybox:latest, priority=WARNING, container=d211a5572bf7, pod=privileged-deployment-574878fc9d-jjhwr, tag=[""container"", ""cis"", ""mitre_lateral_movement""], attack"
13,Attacks-Pod-4xs77.txt,Write below monitored dir,14:17:55.161857044,an attempt to write to any file below a set of monitored directories,ERROR,b55b9ee72316,privileged-deployment-574878fc9d-49j5k,busybox:latest,root,-1,sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-49j5k container=b55b9ee72316 image=busybox:latest,default,"[""filesystem"", ""mitre_persistence""]",attack,"rule= Write below monitored dir, desc= 14:17:55.161857044: an attempt to write to any file below a set of monitored directories, parameter=user=root user_loginuid=-1 command=sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-49j5k container=b55b9ee72316 image=busybox:latest, priority=ERROR, container=b55b9ee72316, pod=privileged-deployment-574878fc9d-49j5k, tag=[""filesystem"", ""mitre_persistence""], attack"
14,Attacks-Pod-4xs77.txt,Read ssh information,23:09:28.971484715,Any attempt to read files below ssh directories by non-ssh programs,ERROR,0f28dabd4531,privileged-deployment-574878fc9d-qm2cb,busybox:latest,root,0,container:0f28dabd4531 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-qm2cb container=0f28dabd4531 image=busybox:latest,default,"[""filesystem"", ""mitre_discovery""]",attack,"rule= Read ssh information, desc= 23:09:28.971484715: Any attempt to read files below ssh directories by non-ssh programs, parameter=user=root user_loginuid=0 command=container:0f28dabd4531 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-qm2cb container=0f28dabd4531 image=busybox:latest, priority=ERROR, container=0f28dabd4531, pod=privileged-deployment-574878fc9d-qm2cb, tag=[""filesystem"", ""mitre_discovery""], attack"
15,Attacks-Pod-4xs77.txt,Outbound or Inbound Traffic not to Authorized Server Process and Port,01:48:40.312499935,Detect traffic that is not to authorized server process and port.,WARNING,dd5e50eb2e93,sensitive-mount-deployment-7fd6f8467-hvns2,busybox:latest,root,0,container:dd5e50eb2e93 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-hvns2 container=dd5e50eb2e93 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,default,"[""network""]",attack,"rule= Outbound or Inbound Traffic not to Authorized Server Process and Port, desc= 01:48:40.312499935: Detect traffic that is not to authorized server process and port., parameter=user=root user_loginuid=0 command=container:dd5e50eb2e93 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-hvns2 container=dd5e50eb2e93 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/88aa9a01-ff5e-4834-8193-75999da4b300/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/88aa9a01-ff5e-4834-8193-75999da4b300/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/88aa9a01-ff5e-4834-8193-75999da4b300/containers/busybox/c80534bb:/dev/termination-log::true:rprivate, priority=WARNING, container=dd5e50eb2e93, pod=sensitive-mount-deployment-7fd6f8467-hvns2, tag=[""network""], attack"
16,Attacks-Pod-4xs77.txt,Netcat Remote Code Execution in Container,16:51:38.662645042,Netcat Program runs inside container that allows remote code execution,WARNING,23edeee7ba19,privileged-deployment-574878fc9d-rlc8l,busybox:latest,<NA>,0,container:23edeee7ba19 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-rlc8l container=23edeee7ba19 image=busybox:latest,default,"[""network"", ""process"", ""mitre_execution""]",attack,"rule= Netcat Remote Code Execution in Container, desc= 16:51:38.662645042: Netcat Program runs inside container that allows remote code execution, parameter=user=<NA> user_loginuid=0 command=container:23edeee7ba19 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-rlc8l container=23edeee7ba19 image=busybox:latest, priority=WARNING, container=23edeee7ba19, pod=privileged-deployment-574878fc9d-rlc8l, tag=[""network"", ""process"", ""mitre_execution""], attack"
17,Attacks-Pod-4xs77.txt,Delete Bash History,22:35:45.803194569,Detect bash history deletion,WARNING,142ddd282c11,privileged-deployment-574878fc9d-l7rbh,busybox:latest,root,0,container:142ddd282c11 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-l7rbh container=142ddd282c11 image=busybox:latest,default,"[""process"", ""mitre_defense_evasion""]",attack,"rule= Delete Bash History, desc= 22:35:45.803194569: Detect bash history deletion, parameter=user=root user_loginuid=0 command=container:142ddd282c11 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-l7rbh container=142ddd282c11 image=busybox:latest, priority=WARNING, container=142ddd282c11, pod=privileged-deployment-574878fc9d-l7rbh, tag=[""process"", ""mitre_defense_evasion""], attack"
18,Attacks-Pod-4xs77.txt,The docker client is executed in a container,15:06:38.697137596,Detect a k8s client tool executed inside a container,WARNING,087b2e019144,privileged-deployment-574878fc9d-qxktt,busybox:latest,root,0,container:087b2e019144 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-qxktt container=087b2e019144 image=busybox:latest,default,"[""container"", ""mitre_execution""]",attack,"rule= The docker client is executed in a container, desc= 15:06:38.697137596: Detect a k8s client tool executed inside a container, parameter=user=root user_loginuid=0 command=container:087b2e019144 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-qxktt container=087b2e019144 image=busybox:latest, priority=WARNING, container=087b2e019144, pod=privileged-deployment-574878fc9d-qxktt, tag=[""container"", ""mitre_execution""], attack"
19,Attacks-Pod-4xs77.txt,Remove Bulk Data from Disk,20:54:46.727838366,Detect process running to clear bulk data from disk,WARNING,15dce6ba0916,sensitive-mount-deployment-7fd6f8467-tk97x,busybox:latest,root,0,container:15dce6ba0916 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-tk97x container=15dce6ba0916 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,default,"[""process"", ""mitre_persistence""]",attack,"rule= Remove Bulk Data from Disk, desc= 20:54:46.727838366: Detect process running to clear bulk data from disk, parameter=user=root user_loginuid=0 command=container:15dce6ba0916 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-tk97x container=15dce6ba0916 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/0e335620-d5fb-4b2c-9215-8d44cf595ec8/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/0e335620-d5fb-4b2c-9215-8d44cf595ec8/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/0e335620-d5fb-4b2c-9215-8d44cf595ec8/containers/busybox/a1538b45:/dev/termination-log::true:rprivate, priority=WARNING, container=15dce6ba0916, pod=sensitive-mount-deployment-7fd6f8467-tk97x, tag=[""process"", ""mitre_persistence""], attack"
20,Attacks-Pod-4xs77.txt,Search Private Keys or Passwords,20:42:56.881902129,Detect grep private keys or passwords activity.\n,WARNING,2a41abef16d6,sensitive-mount-deployment-7fd6f8467-4qnsp,busybox:latest,root,0,container:2a41abef16d6 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-4qnsp container=2a41abef16d6 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,default,"[""process"", ""mitre_credential_access""]",attack,"rule= Search Private Keys or Passwords, desc= 20:42:56.881902129: Detect grep private keys or passwords activity.\n, parameter=user=root user_loginuid=0 command=container:2a41abef16d6 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-4qnsp container=2a41abef16d6 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/e0105b31-f7f2-40d2-82f1-f5c9107a765e/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/e0105b31-f7f2-40d2-82f1-f5c9107a765e/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/e0105b31-f7f2-40d2-82f1-f5c9107a765e/containers/busybox/68359fec:/dev/termination-log::true:rprivate, priority=WARNING, container=2a41abef16d6, pod=sensitive-mount-deployment-7fd6f8467-4qnsp, tag=[""process"", ""mitre_credential_access""], attack"
21,Attacks-Pod-4xs77.txt,Redirect STDOUT/STDIN to Network Connection in Container,06:18:15.998689647,Detect redirecting stdout/stdin to network connection in container (potential reverse shell).,WARNING,eba5d1f7d5ba,privileged-deployment-574878fc9d-7xfl2,busybox:latest,root,0,container:eba5d1f7d5ba k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-7xfl2 container=eba5d1f7d5ba image=busybox:latest,default,,attack,"rule= Redirect STDOUT/STDIN to Network Connection in Container, desc= 06:18:15.998689647: Detect redirecting stdout/stdin to network connection in container (potential reverse shell)., parameter=user=root user_loginuid=0 command=container:eba5d1f7d5ba k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-7xfl2 container=eba5d1f7d5ba image=busybox:latest, priority=WARNING, container=eba5d1f7d5ba, pod=privileged-deployment-574878fc9d-7xfl2, tag=, attack"
22,Attacks-Pod-4xs77.txt,Remove Bulk Data from Disk,21:31:07.859931262,Detect process running to clear bulk data from disk,WARNING,f4cc10504d88,privileged-deployment-574878fc9d-5d2t4,busybox:latest,root,0,container:f4cc10504d88 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-5d2t4 container=f4cc10504d88 image=busybox:latest,default,"[""process"", ""mitre_persistence""]",attack,"rule= Remove Bulk Data from Disk, desc= 21:31:07.859931262: Detect process running to clear bulk data from disk, parameter=user=root user_loginuid=0 command=container:f4cc10504d88 k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-5d2t4 container=f4cc10504d88 image=busybox:latest, priority=WARNING, container=f4cc10504d88, pod=privileged-deployment-574878fc9d-5d2t4, tag=[""process"", ""mitre_persistence""], attack"
23,Attacks-Pod-4xs77.txt,Detect crypto miners using the Stratum protocol,07:17:58.498386793,Miners typically specify the mining pool to connect to with a URI that begins with 'stratum+tcp',CRITICAL,a02e83a524dc,privileged-deployment-574878fc9d-vft7p,busybox:latest,root,0,container:a02e83a524dc k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-vft7p container=a02e83a524dc image=busybox:latest,default,"[""process"", ""mitre_execution""]",attack,"rule= Detect crypto miners using the Stratum protocol, desc= 07:17:58.498386793: Miners typically specify the mining pool to connect to with a URI that begins with 'stratum+tcp', parameter=user=root user_loginuid=0 command=container:a02e83a524dc k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-vft7p container=a02e83a524dc image=busybox:latest, priority=CRITICAL, container=a02e83a524dc, pod=privileged-deployment-574878fc9d-vft7p, tag=[""process"", ""mitre_execution""], attack"
24,Attacks-Pod-4xs77.txt,Delete or rename shell history,01:43:28.319743381,Detect shell history deletion,WARNING,e0cb7eda5d36,sensitive-mount-deployment-7fd6f8467-dwp4f,busybox:latest,root,0,container:e0cb7eda5d36 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-dwp4f container=e0cb7eda5d36 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,default,"[""process"", ""mitre_defense_evasion""]",attack,"rule= Delete or rename shell history, desc= 01:43:28.319743381: Detect shell history deletion, parameter=user=root user_loginuid=0 command=container:e0cb7eda5d36 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-dwp4f container=e0cb7eda5d36 image=busybox:latest mounts=/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/35597289-bcea-42a0-b489-f33038162d98/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/35597289-bcea-42a0-b489-f33038162d98/etc-hosts:/etc/hosts::true:rprivate,/var/lib/kubelet/pods/35597289-bcea-42a0-b489-f33038162d98/containers/busybox/45c0848d:/dev/termination-log::true:rprivate, priority=WARNING, container=e0cb7eda5d36, pod=sensitive-mount-deployment-7fd6f8467-dwp4f, tag=[""process"", ""mitre_defense_evasion""], attack"
25,Attacks-Pod-4xs77.txt,Redirect STDOUT/STDIN to Network Connection in Container,18:49:57.771584293,Detect redirecting stdout/stdin to network connection in container (potential reverse shell).,WARNING,3c6ac01d3a40,privileged-deployment-574878fc9d-k6f4z,busybox:latest,root,-1,sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-k6f4z container=3c6ac01d3a40 image=busybox:latest,default,,attack,"rule= Redirect STDOUT/STDIN to Network Connection in Container, desc= 18:49:57.771584293: Detect redirecting stdout/stdin to network connection in container (potential reverse shell)., parameter=user=root user_loginuid=-1 command=sh -c while true; do echo sleeping; sleep 3600; done k8s.ns=default k8s.pod=privileged-deployment-574878fc9d-k6f4z container=3c6ac01d3a40 image=busybox:latest, priority=WARNING, container=3c6ac01d3a40, pod=privileged-deployment-574878fc9d-k6f4z, tag=, attack"
26,Attacks-Pod-4xs77.txt,Outbound Connection to C2 Servers,04:05:37.101195645,Detect outbound connection to command & control servers,WARNING,9d5b66b2c0d7,sensitive-mount-deployment-7fd6f8467-bzhqb,busybox:latest,root,0,container:9d5b66b2c0d7 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-bzhqb container=9d5b66b2c0d7 image=busybox:latest mounts=/var/lib/kubelet/pods/3b779b59-50c0-4422-a275-1b171f5df58b/containers/busybox/6e80d26d:/dev/termination-log::true:rprivate,default,"[""network""]",attack,"rule= Outbound Connection to C2 Servers, desc= 04:05:37.101195645: Detect outbound connection to command & control servers, parameter=user=root user_loginuid=0 command=container:9d5b66b2c0d7 k8s.ns=default k8s.pod=sensitive-mount-deployment-7fd6f8467-bzhqb container=9d5b66b2c0d7 image=busybox:latest mounts=/var/lib/kubelet/pods/3b779b59-50c0-4422-a275-1b171f5df58b/containers/busybox/6e80d26d:/dev/termination-log::true:rprivate,/etc:/host/etc::true:rprivate,/var/lib/kubelet/pods/3b779b59-50c0-4422-a275-1b171f5df58b/volumes/kubernetes.io~secret/default-token-9bhkw:/var/run/secrets/kubernetes.io/serviceaccount:ro:false:rprivate,/var/lib/kubelet/pods/3b779b59-50c0-4422-a275-1b171f5df58b/etc-hosts:/etc/hosts::true:rprivate, priority=WARNING, container=9d5b66b2c0d7, pod=sensitive-mount-deployment-7fd6f8467-bzhqb, tag=[""network""], attack"
