experiment_group,workflow_version,priority,rule_name,image_name,user_role,company_size,industry,cloud_provider,plan_type,total_alert_views,total_investigations,total_remediations,investigation_rate,remediation_rate,avg_time_to_investigate_minutes
control,old_page,WARNING,Delete Bash History,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,94
control,old_page,WARNING,Delete or rename shell history,falcosecurity/event-generator,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,45
control,old_page,ERROR,Modify binary dirs,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,1,0,1,0,4
control,old_page,WARNING,Read Shell Configuration File,falcosecurity/event-generator,devops_engineer,enterprise,fintech,azure,pro,1,1,1,1,1,96
control,old_page,ERROR,Write below rpm database,busybox:latest,devops_engineer,enterprise,fintech,azure,pro,1,0,0,0,0,
control,old_page,ERROR,Read ssh information,busybox:latest,security_engineer,small,fintech,aws,free,3,1,1,0.33333333333333331,0.33333333333333331,57
control,old_page,WARNING,Read sensitive file untrusted,falcosecurity/event-generator,security_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,security_engineer,small,fintech,aws,free,1,1,0,1,0,38
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,security_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,security_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,security_engineer,small,fintech,aws,free,2,1,1,0.5,0.5,108
control,old_page,ERROR,Container Drift Detected (open+create),falcosecurity/event-generator,security_engineer,small,fintech,aws,free,1,1,0,1,0,65
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,security_engineer,small,fintech,aws,free,2,2,0,1,0,31.5
control,old_page,ERROR,Write below binary dir,busybox:latest,security_engineer,small,fintech,aws,free,1,1,1,1,1,11
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,security_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,ERROR,Write below root,busybox:latest,security_engineer,small,fintech,aws,free,2,2,2,1,1,62.5
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,security_engineer,small,fintech,aws,free,1,1,0,1,0,93
control,old_page,WARNING,Clear Log Activities,busybox:latest,platform_engineer,small,fintech,aws,free,2,1,1,0.5,0.5,111
control,old_page,WARNING,Delete Bash History,busybox:latest,platform_engineer,small,fintech,aws,free,2,2,1,1,0.5,59.5
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,falcosecurity/event-generator,platform_engineer,small,fintech,aws,free,1,1,1,1,1,72
control,old_page,WARNING,Debugfs Launched in Privileged Container,busybox:latest,platform_engineer,small,fintech,aws,free,1,1,0,1,0,40
control,old_page,ERROR,Write below binary dir,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,platform_engineer,small,fintech,aws,free,1,1,0,1,0,59
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,platform_engineer,small,fintech,aws,free,1,1,1,1,1,42
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,WARNING,Netcat Remote Code Execution in Container,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,WARNING,Delete or rename shell history,busybox:latest,platform_engineer,small,fintech,aws,free,1,1,1,1,1,80
control,old_page,ERROR,Modify binary dirs,busybox:latest,platform_engineer,small,fintech,aws,free,2,2,2,1,1,30.5
control,old_page,ERROR,Write below etc,busybox:latest,platform_engineer,small,fintech,aws,free,1,1,0,1,0,116
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,small,fintech,aws,free,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,security_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,security_engineer,small,fintech,azure,free,2,2,0,1,0,80.5
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,falcosecurity/event-generator,security_engineer,small,fintech,azure,free,1,1,0,1,0,81
control,old_page,WARNING,The docker client is executed in a container,falcosecurity/event-generator,security_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,security_engineer,small,fintech,azure,free,1,1,0,1,0,112
control,old_page,ERROR,Write below binary dir,busybox:latest,security_engineer,small,fintech,azure,free,1,1,0,1,0,107
control,old_page,ERROR,Write below rpm database,busybox:latest,security_engineer,small,fintech,azure,free,1,1,1,1,1,77
control,old_page,WARNING,Read Shell Configuration File,falcosecurity/event-generator,security_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,security_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Write below root,falcosecurity/event-generator,security_engineer,small,fintech,azure,free,1,1,1,1,1,36
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,platform_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,falcosecurity/event-generator,platform_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,WARNING,Clear Log Activities,busybox:latest,platform_engineer,small,fintech,azure,free,1,1,1,1,1,55
control,old_page,WARNING,Remove Bulk Data from Disk,busybox:latest,platform_engineer,small,fintech,azure,free,1,1,0,1,0,73
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,platform_engineer,small,fintech,azure,free,1,1,1,1,1,40
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,platform_engineer,small,fintech,azure,free,1,1,0,1,0,15
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Write below monitored dir,busybox:latest,platform_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,1,1,1,26
control,old_page,WARNING,Netcat Remote Code Execution in Container,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,1,1,1,34
control,old_page,CRITICAL,Unprivileged Delegation of Page Faults Handling to a Userspace Process,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,1,1,1,29
control,old_page,ERROR,Write below rpm database,falcosecurity/event-generator,devops_engineer,small,fintech,azure,free,1,1,0,1,0,112
control,old_page,WARNING,Clear Log Activities,falcosecurity/event-generator,devops_engineer,small,fintech,azure,free,1,1,0,1,0,3
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Launch Package Management Process in Container,falcosecurity/event-generator,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,WARNING,Delete Bash History,busybox:latest,devops_engineer,small,fintech,azure,free,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,0,1,0,102
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,1,1,1,50
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,devops_engineer,small,fintech,azure,free,1,1,0,1,0,113
control,old_page,ERROR,Container Drift Detected (chmod),busybox:latest,security_engineer,enterprise,saas,aws,pro,2,0,0,0,0,
control,old_page,WARNING,Mount Launched in Privileged Container,busybox:latest,security_engineer,enterprise,saas,aws,pro,1,1,0,1,0,59
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,security_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound Connection to C2 Servers,busybox:latest,devops_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,devops_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,falcosecurity/event-generator,devops_engineer,enterprise,saas,aws,pro,1,1,0,1,0,94
control,old_page,ERROR,Write below rpm database,busybox:latest,devops_engineer,enterprise,saas,aws,pro,1,1,0,1,0,3
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,devops_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,falcosecurity/event-generator,security_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Delete or rename shell history,busybox:latest,security_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,security_engineer,enterprise,saas,aws,pro,2,1,1,0.5,0.5,31
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,security_engineer,enterprise,saas,aws,pro,1,1,1,1,1,80
control,old_page,ERROR,Read ssh information,busybox:latest,security_engineer,enterprise,saas,aws,pro,1,1,1,1,1,20
control,old_page,WARNING,Linux Kernel Module Injection Detected,falcosecurity/event-generator,security_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,platform_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,falcosecurity/event-generator,platform_engineer,enterprise,saas,aws,pro,1,1,1,1,1,19
control,old_page,ERROR,Read ssh information,falcosecurity/event-generator,platform_engineer,enterprise,saas,aws,pro,1,1,0,1,0,90
control,old_page,WARNING,Read sensitive file untrusted,falcosecurity/event-generator,platform_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,platform_engineer,enterprise,saas,aws,pro,1,1,0,1,0,101
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,enterprise,saas,aws,pro,1,0,0,0,0,
control,old_page,WARNING,Read Shell Configuration File,busybox:latest,platform_engineer,enterprise,saas,aws,pro,2,0,0,0,0,
control,old_page,ERROR,Create files below dev,busybox:latest,platform_engineer,enterprise,saas,aws,pro,1,1,0,1,0,25
control,old_page,CRITICAL,Detect crypto miners using the Stratum protocol,busybox:latest,platform_engineer,enterprise,saas,aws,pro,1,1,1,1,1,11
control,old_page,WARNING,The docker client is executed in a container,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,1,1,1,1,65
control,old_page,ERROR,Read ssh information,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,ERROR,Modify binary dirs,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,44
control,old_page,WARNING,Search Private Keys or Passwords,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,2,1,1,0.5,0.5,3
control,old_page,ERROR,Write below etc,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,2,1,1,0.5,0.5,61
control,old_page,WARNING,Read sensitive file untrusted,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,82
control,old_page,WARNING,Launch Disallowed Container,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,21
control,old_page,ERROR,Write below root,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,2,1,1,0.5,0.5,50
control,old_page,WARNING,Read sensitive file trusted after startup,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,2,2,1,1,0.5,71.5
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,4,2,0,0.5,0,85.5
control,old_page,WARNING,Linux Kernel Module Injection Detected,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,falcosecurity/event-generator,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,WARNING,Redirect STDOUT/STDIN to Network Connection in Container,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,70
control,old_page,CRITICAL,Detect outbound connections to common miner pool ports,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,1,1,1,1,45
control,old_page,WARNING,Netcat Remote Code Execution in Container,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,WARNING,Outbound or Inbound Traffic not to Authorized Server Process and Port,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,1,1,1,1,19
control,old_page,ERROR,Read ssh information,falcosecurity/event-generator,devops_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,ERROR,Write below etc,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,11
control,old_page,ERROR,Container Drift Detected (open+create),busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,CRITICAL,Sudo Potential Privilege Escalation,busybox:latest,devops_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
control,old_page,ERROR,Container Drift Detected (chmod),,platform_engineer,enterprise,ecommerce,aws,free,1,1,0,1,0,118
control,old_page,WARNING,Network Connection outside Local Subnet,busybox:latest,platform_engineer,enterprise,ecommerce,aws,free,1,0,0,0,0,
